Synapse#,Area,Perimeter,Length,Longest branch length,#Branches,#Branching points,#Islands,#Active zones
1,420,198.4127,73.9411,73.9411,1,0,1,0
1,450,237.3797,92.4558,83.6274,3,1,1,0
1,420,189.0143,75.1127,75.1127,1,0,1,0
1,519,315.9708,142.6396,137.6396,3,1,1,0
1,533,284.852,120.9411,120.9411,2,0,2,0
1,1059,548.9312,251.1249,211.5685,5,2,1,0
1,1270,396.0545,158.8112,155.2254,5,2,1,0
1,1299,584.8547,266.5807,207.9828,8,4,1,0
1,874,325.9981,142.0538,142.0538,1,0,1,0
1,795,290.5843,98.9411,83.8701,3,1,1,0
1,1223,514.6132,201.267,139.8823,5,2,1,0
1,795,290.5843,98.9411,83.8701,3,1,1,0
1,1006,294.4924,93.4558,93.4558,1,0,1,0
2,261,116.1767,30.3137,30.3137,2,0,2,0
2,523,292.4131,94.5563,94.5563,1,0,1,0
2,315,148.1838,50.3848,50.3848,1,0,1,0
2,400,173.5472,58.2843,42.799,3,1,1,0
2,467,222.7824,79.8995,79.8995,1,0,1,0
2,769,185.4377,63.2132,63.2132,1,0,1,0
2,915,318.4816,113.0416,113.0416,1,0,1,0
2,919,344.8532,148.0833,148.0833,1,0,1,0
2,525,143.0688,43.9706,43.9706,1,0,1,0
2,869,307.5238,133.9828,114.2548,3,1,1,0
2,1142,323.4764,125.8823,105.9117,5,2,1,0
2,700,230.3988,62.9706,56.1421,4,1,2,0
2,1331,468.4651,244.8234,198.7817,8,3,3,0
2,903,295.5657,87.3553,87.3553,1,0,1,0
3,353,154.8528,55.4558,55.4558,1,0,1,0
3,540,231.4214,95.1838,95.1838,1,0,1,0
3,358,201.1178,80.6985,78.6985,3,1,1,0
3,256,122.0107,40.2132,30.3848,3,1,1,0
3,296,190.1281,83.4264,60.5269,3,1,1,0
3,865,301.9896,107.5685,91.669,4,1,2,0
3,583,195.3381,70.6274,70.6274,1,0,1,0
3,919,269.6457,105.2548,105.2548,1,0,1,0
3,784,211.865,75.669,57.0122,3,1,1,0
3,621,205.865,70.1838,70.1838,1,0,1,0
3,949,258.1236,89.669,87.669,3,1,1,0
3,1005,286.0116,100.9411,100.9411,2,0,2,0
3,902,243.4918,68.0416,61.0416,4,1,2,0
5,131,123.5108,64.8701,64.8701,2,0,2,0
5,223,131.4021,62.0122,62.0122,1,0,1,0
5,108,69.9524,16.4853,16.4853,1,0,1,0
5,196,125.5733,43.799,43.799,1,0,1,0
5,351,132.9407,46.6274,46.6274,2,0,2,0
5,296,121.1751,51.3848,51.3848,1,0,1,0
5,372,200.7355,59.8701,59.8701,1,0,1,0
5,433,130.3675,43.9706,43.9706,1,0,1,0
5,618,271.2973,101.5685,97.5685,4,1,2,0
5,466,118.6801,34.7279,34.7279,1,0,1,0
5,652,142.9533,43.3137,35.3137,3,1,1,0
8,220,115.3074,30.3137,30.3137,2,0,2,0
8,231,110.468,44.8701,44.8701,1,0,1,0
8,279,137.7956,47.5563,47.5563,1,0,1,0
8,208,90.5685,29.9706,29.9706,1,0,1,0
8,182,72.2254,19.5563,19.5563,1,0,1,0
8,924,370.2277,135.0955,135.0955,1,0,1,0
8,815,215.6083,74.2843,74.2843,1,0,1,0
8,729,240.3503,94.1543,94.1543,1,0,1,0
8,617,199.526,77.8701,77.8701,1,0,1,0
8,561,160.9949,57.6985,57.6985,1,0,1,0
8,873,213.1787,82.2254,82.2254,1,0,1,0
8,475,151.3381,50.799,50.799,1,0,1,0
8,758,252.8753,113.8823,102.8112,3,1,1,0
10,146,80.6976,20.2426,20.2426,1,0,1,0
10,307,201.1676,54.3848,54.3848,1,0,1,0
10,264,146.8398,46.7279,46.7279,1,0,1,0
10,604,248.107,84.1127,75.4558,3,1,1,0
10,412,225.4903,50.2132,50.2132,1,0,1,0
10,291,163.7795,81.8406,69.1838,3,1,1,0
10,925,395.1233,155.0833,138.0122,5,2,1,0
10,1028,308.9576,114.598,91.1127,5,2,1,0
10,1672,669.8288,320.9949,211.7817,9,4,2,0
10,626,363.7219,139.0833,129.2548,3,1,1,0
10,1249,403.4911,119.5685,90.598,7,3,1,0
12,362,199.3271,47.799,47.799,1,0,1,0
12,327,126.5097,31.8995,31.8995,1,0,1,0
12,491,266.4634,132.1838,132.1838,1,0,1,0
12,431,366.3988,181.7401,146.7696,5,2,1,0
12,408,186.4701,75.799,67.5563,3,1,1,0
12,1249,434.711,121.669,111.8406,5,2,1,0
12,1115,318.965,81.6985,81.6985,1,0,1,0
12,725,263.0845,103.4975,68.5269,5,2,1,0
12,636,224.8909,51.6985,51.6985,1,0,1,0
12,996,354.5644,126.4975,116.8406,3,1,2,0
12,1171,359.2976,150.9533,149.9533,3,1,1,0
12,1148,359.0366,142.3675,142.3675,1,0,1,0
12,788,297.262,64.4558,64.4558,1,0,1,0
13,395,150.4563,55.6274,50.6274,3,1,1,0
13,338,172.0522,71.0416,63.2132,3,1,1,1
13,308,130.3953,34.799,34.799,2,0,2,0
13,495,239.8648,84.1838,80.7696,3,1,1,0
13,396,172.3502,67.2132,67.2132,1,0,1,0
13,945,346.8061,128.6396,128.6396,2,0,2,0
13,808,403.6702,212.3381,158.196,9,3,3,0
13,1287,328.6959,119.2548,100.8406,3,1,1,0
13,1003,270.4952,104.4264,91.1127,3,1,1,0
13,962,285.0106,113.7401,92.9411,3,1,1,0
13,1069,306.6475,109.1543,74.1127,5,2,1,0
13,937,269.8966,121.3675,97.397,3,1,1,0
13,1050,276.3919,107.8406,81.4264,3,1,1,0
15,619,310.8737,93.6985,93.6985,1,0,1,0
15,497,304.9697,127.4264,127.4264,2,0,2,0
15,400,193.3333,84.7401,74.669,3,1,1,0
15,583,292.0376,102.6274,102.6274,1,0,1,0
15,2592,905.416,272.6224,223.5097,7,3,1,0
15,1048,668.1398,285.6934,218.1665,7,3,1,0
15,1795,707.7204,235.6518,220.3381,3,1,1,0
15,775,332.6493,125.8823,125.8823,2,0,2,0
15,1913,700.816,335.9066,326.2498,4,1,2,0
28,73,68.4626,20.1421,20.1421,1,0,1,0
28,226,119.8602,27.5563,27.5563,1,0,1,0
28,84,119.8513,36.7279,36.7279,1,0,1,0
28,180,108.4515,37.6274,37.6274,1,0,1,0
28,231,123.5291,37.799,37.799,1,0,1,0
28,237,85.1202,28.6569,28.6569,1,0,1,0
28,674,239.4544,100.397,100.397,1,0,1,0
28,136,124.0342,90.3553,79.1127,5,2,1,0
28,519,165.9759,63.6274,63.6274,1,0,1,0
28,109,113.7992,115.8406,70.9706,5,2,1,0
28,606,285.0386,115.468,106.0538,3,1,1,0
28,364,125.1024,37.799,37.799,1,0,1,0
28,428,144.3177,55.3553,55.3553,1,0,1,0
